用户名称,评分,评论时间,有用数,常居地,加入豆瓣时间,评论,用户url,页数
Mercury,40,"
2018-02-23
",7,, 2006-10-31," 看完这部电影，可以来说说战狼了，当然还有那部空天猎#没有比较就没有伤害#别扯什么主旋律，烂片就是烂片，好片就是好片#
        ",https://www.douban.com/people/Mercury9999/,260
metaphor17,30,"
2018-02-19
",0,北京, 2008-12-31," 林超贤终于回避了自己的短板没有拍感情戏，动作场面在国内确实一流水准，但最后中国充当世界警察这段真的太冗余和没有必要，拍得再硬也看不动了……
        ",https://www.douban.com/people/metaphor17/,260
Mia RB,50,"
2018-02-16
",61,北京, 2008-09-02," 好莱坞级别的中国大片战争片，初一第一看的早场。
        ",https://www.douban.com/people/miachen/,220
Michelle,30,"
2018-02-21
",4,上海, 2007-08-04," 3星半。怎么说呢？看完的第一想法是：比阅兵式好看，但也仅仅只是比阅兵式好看。。。军事线的十八般武艺耍得有模有样，但政治线是模糊错乱的，人物线是潦草肤浅的，在不停歇的狂轰滥炸下，都经不起推敲和回味。海清在不多的发挥空间里还是不失水准，可惜了张涵予。
        ",https://www.douban.com/people/michelleliu31/,140
Mickey,30,"
2018-02-09
",22,北京, 2014-08-21," 一直不会讲故事的林超贤仍然延续到这部，但你又不得为他的场面镜头调度叫好，演员们出色发挥，血腥程度超乎想象，大年初一看一定倍儿酸爽。
        ",https://www.douban.com/people/98107332/,80
MIKI UP,10,"
2018-02-23
",0,广东广州, 2009-10-10," 记者干着特务和跨国刑警的活，曝光报道就可以打垮阴谋，优秀记者想法这么可爱？没有军令如山，谁都可以违反，随时增加任务量并不需要增援，我国其实几个人就可以干掉恐怖主义一整寨？厉害了。特技还可以，听说武器很赞（这个不懂看），我只想知道真实事件是啥样的，毕竟这电影看得我白眼都翻出来了。
        ",https://www.douban.com/people/mecsta/,460
MissXtotheO,20,"
2018-02-20
",0,湖南长沙, 2010-07-10," 吵死个人
        ",https://www.douban.com/people/43253714/,440
mlln,30,"
2018-02-21
",46,北京, 2006-01-14," commercial nationalism.
        ",https://www.douban.com/people/mlln/,0
mOco,40,"
2018-03-04
",5,北京, 2008-03-08," 3.5 如果仅仅只是撤侨，“不能伤害一个中国人”的话也还行，非要去管黑市交易的事就非常美国国际警察范儿了。一个把中国换成任何国家都成立的好莱坞故事。很游戏化，比如故事结构是领任务过关式，一些主观镜头很cs。在影院看还是比较抓人，但是3D真的没必要。
        ",https://www.douban.com/people/mycage/,300
momotea_Summer,30,"
2018-02-27
",0,江苏苏州, 2008-03-10," 就随便安放一下无名激昂的爱国情操吧！很糟糕的林超贤！只想摸摸李懂的头~
        ",https://www.douban.com/people/Su33er/,440
Mona Lishark,10,"
2018-02-17
",10,"Little Rock, United States", 2007-11-12," 跟爸爸看的。
        ",https://www.douban.com/people/run11run/,20
mondo_,30,"
2018-02-20
",2,山东青岛, 2016-10-03," 导演不喊口号、不刻意煽情而是用危险的战争情节和大尺度的血腥画面去调动观众情绪，很完整的诠释了国之实力，没闪失但过于套路化，另外3D效果也有些多余，表演上除了海清有些做作外，全员在线，令人惊喜。
        ",https://www.douban.com/people/151970140/,380
Morning,40,"
2018-02-19
",9,北京, 2008-06-05," 三星半。缺少了神采的东西，进入了标准的订制阶段。记者本来是很厉害的设置，可惜人物先行了，这个角色并没有该有的深度和广度。另外小队中还在原地踏步着，只做到了职能之分，未做到个性之分。全片托出一个蒋璐霞也是很单调的存在。中间那段“他们国家这么乱”还是稍微有一点反战意识的，可惜结尾败光
        ",https://www.douban.com/people/qiweiming750/,200
moses,50,"
2018-02-16
",37,浙江绍兴, 2014-07-21," 牛逼
        ",https://www.douban.com/people/sc30mvp/,420
Mr. Infamous,50,"
2018-02-20
",11,北京, 2011-03-07," 名字太土，加上潜在的教育性质，本无一丝兴趣，没想到有老家籍的导演在老家取了海景，还有这等口碑。不过海陆空一浪接一浪的高潮，确实刺激得诚挚，而且没那么多扯淡教育。远超《湄公河行动》，华语军事动作片该是有了一个新标杆。黄景瑜口吻依旧，蒋璐霞实力出彩。私心为湛江元素加一星。
        ",https://www.douban.com/people/misterinfamous/,160
MR.M,30,"
2018-02-22
",1,北京, 2009-05-18," 剑眉星目，帅哥如云
        ",https://www.douban.com/people/MichaelandNak/,380
Mr.Raindrop,30,"
2018-02-21
",0,北京, 2007-11-12," 过誉了，就是闯关加血腥，太过紧凑只能记得这些。求中国上分级制度，这片子实在不合适放在春节档。
        ",https://www.douban.com/people/NintendoDX/,320
Mr.shanker,50,"
2018-03-01
",10,, 2013-08-26," 战狼和它没有可比性。专业，控制，客观，同样是战争，一个还保留东亚病夫自我证明的立场，一个已经栖身国际化视野。同样是升国旗，一个是令人尴尬的中国Superman,一个是任务结束后自然的随风飘荡。同样是暴力，一个渲染着仇恨，一个克制着私情。
        ",https://www.douban.com/people/77156301/,360
mrs.myself,30,"
2018-02-18
",0,四川成都, 2010-03-20," 确实比某个人英雄主义的片子好，还能看，春节档唯一一部能看的了吧
        ",https://www.douban.com/people/Mrs.Myself/,460
mrz,30,"
2018-02-22
",0,浙江杭州, 2010-01-07," 不错，纯爷们
        ",https://www.douban.com/people/32019435/,460
Ms_underwater,30,"
2018-02-19
",41,上海, 2007-08-08," 就想问问那个带炮儿的无人机早干吗去了
        ",https://www.douban.com/people/ms_underwater/,20
my.estate,50,"
2018-02-16
",9,四川成都, 2011-07-19," 太特么好看了，不煽情，春节档最佳！为林导打call
        ",https://www.douban.com/people/53181676/,260
myhardcandy,30,"
2018-02-21
",0,北京, 2007-01-24," 除了杀杀杀没别的。还敢跟《黑鹰》比？真有脸。然后海清实在太太太尴尬了。
        ",https://www.douban.com/people/jovie/,400
M姐的尖叫,10,"
2018-02-20
",0,重庆, 2008-11-20," 突突突突突突突......
        ",https://www.douban.com/people/Luna_apo/,440
nanananaBatman,20,"
2018-02-16
",10,浙江杭州, 2013-01-18," 片尾出现的大使馆电话号码注定红海行动票房无法达到战狼2的高度，毕竟全世界没几个人想得到人肉升国旗和在护照上加字。单从这点上，林超贤就甩吴京200条街。
        ",https://www.douban.com/people/68210064/,80
nerd,30,"
2018-02-16
",0,河南安阳, 2011-09-16," 林超贤已经比较熟悉此类影片创作，主旋律军事动作片，或者叫爱国主义教育片。比《战狼2》的进步在于由孤胆英雄变为团队作战。尽管能看到编剧在细节上作的努力，但人物形象不立体，逊于《湄公河行动》。不过从头打到尾，也算是扬长避短。有几个血腥镜头可以说尺度不小了。
        ",https://www.douban.com/people/54455940/,320
Nico and Ari,20,"
2018-02-09
",3,北京, 2015-04-07," 正题目从海里出来的时候，剧情就很显然了，21分钟。比湄公河行动更加的卖力渲染血腥场面。没有了彭于晏盯着杜江的大眼睛，get不到演技。对于两个女性角色是怎么丑怎么来了…张涵予打得一手好酱油
        ",https://www.douban.com/people/124823458/,300
Nicole暖,10,"
2018-02-23
",3,, 2013-07-01," 突突突突 boom  全程台词：李懂！顾顺！队长！然后没了 演员拿到台本不会很尴尬么？
                
                
        ",https://www.douban.com/people/74689831/,300
Niemandsrose,20,"
2018-03-07
",2,北京, 2011-08-27," 看完了一直找不到合适的词语来描述我的观感 直到有一个朋友说 看这个片就像在夜店蹦迪 音乐从开始蹦到结束 不要停
        ",https://www.douban.com/people/54055071/,180
n美4,30,"
2018-02-21
",2,四川广元, 2016-02-23," 为什么要把别国的领导人救走
害得这些人杀中国人？
        ",https://www.douban.com/people/142378911/,300
Oasis,20,"
2018-02-17
",14,广东广州, 2013-08-25," 苛刻点说，除了战争场面一无是处，配乐聒噪到不行，配上不肯停下来的高潮简直要命，林超贤把弦绷得太紧了，节奏阴阳怪气，文戏不堪入目。解救人质一阵狂轰滥炸，我就纳闷为什么敌军突然就不爱用手榴弹了，个个都自愿成了人肉盾牌，剪辑也是狡猾鸡贼，隔三差五地为我军争取时间差，最后的胜利难以服众。
        ",https://www.douban.com/people/77092352/,40
OCTIO≯,30,"
2018-02-16
",17,北京, 2009-11-09," 比湄公河更完整更丰满，制作也更精良，但本片节奏实在太紧绷了，虎口拔牙救女人质的高潮戏就已经是极限了，之后黄饼交易那段真心有点多余…春节大混战老爸点名要看这一部，之前看《追龙》时就被贴片预告给套路住了，之后一直心心念念，看完后赞不绝口表示很满足很过瘾爽，果然当过兵的党员真就好这一口
        ",https://www.douban.com/people/W3IQ7/,20
Olafyii,30,"
2018-02-20
",1,上海, 2016-12-07," 3.5 有点热血，有点血腥
//要是别的片那些血腥的镜头估计就被剪了吧
        ",https://www.douban.com/people/154733554/,460
OreoOlymLee,10,"
2018-02-22
",8,吉林长春, 2015-10-25," 得承认场面调度一流，但放在成熟的工业体系之下这片最多也就类比类比《变形金刚》，热衷于借炫技献殷勤的林超贤居然也就真和迈克尔贝殊途同归。心理刻画基本为零，片中大兵都是指哪打哪毫无血肉可言的战争机器，看完只能望见新殖民主义下一群群热血沸腾的观众抒发着他们空洞的爱国情怀。
        ",https://www.douban.com/people/136593943/,60
p.j,40,"
2018-02-17
",93,浙江杭州, 2016-01-05," 这是一组最没有主角光环的主角团，没有超级英雄，没有天降支援，仅凭肉体凡胎的军事素养、团队配合以及钢铁意志，用自我牺牲来抵挡榴弹无情。枪林弹雨的密集容不下片刻抒情，只留下所有时间展现战争的艰难和血腥。硬战争片了。
        ",https://www.douban.com/people/140083097/,60
PabloHoney,30,"
2018-02-18
",3,江苏南京, 2005-10-30," 我真的没觉得这部比战狼优秀，而且打两个多小时真的看的我生理不适了，低血糖还胸闷。
        ",https://www.douban.com/people/alexandrawoo/,160
PakyuM,20,"
2018-02-21
",2,北京, 2010-06-02," 这么说吧，看这部电影的时候，我脑子里想的最近看的一部美剧《归乡路漫漫》，我军指战员八个人比美军一个连外加外援都nb，犯我中华者，
        ",https://www.douban.com/people/wangzelovely/,100
pamela,20,"
2018-02-23
",2,北京, 2011-07-22," 可能我不喜欢战争片吧，真的一般。海清真的有些尴尬
        ",https://www.douban.com/people/53257612/,180
Paperman_Leung,20,"
2018-02-22
",1,广东广州, 2007-07-28," 抛去主旋律的“硬”，其他方面也没有到林超贤的平均水平啊？还滥用慢镜头，拍巷战剪那么碎，又没有空间交代，还不如卖拷贝。
        ",https://www.douban.com/people/1719577/,280
patric,30,"
2018-02-25
",0,山东青岛, 2008-08-16," 吓人倒怪
        ",https://www.douban.com/people/partric/,480
Pedestrian Q,10,"
2018-02-17
",3,, 2013-04-25," 尿点比较多。x能量x旋律太刻意了，情节节奏把控不好，人物线比较弱，演员演技大半不在线（近结尾多少进入状态），打斗仿佛子弹长眼（只是对方的不长），单手甩枪也随意打中，后期/特效不稳定（开头有时出现糖果色彩，不知是头没有color match还是后期问题），倒是比战狼是魔幻主义色彩弱一些。
        ",https://www.douban.com/people/71663739/,240
Penny.,10,"
2018-02-17
",20,浙江杭州, 2011-06-27," 吃鸡套个爱国题材就是就是一部大片
                
                
        ",https://www.douban.com/people/52650515/,60
Phyyyyyyllis,50,"
2018-02-18
",36,贵州贵阳, 2017-10-23," 国产枪战新高度。从湄公河到红海，林超贤简直厉害了。不仅甩了某狼几十条街，也还超越了自己之前的湄公河。场面很真实，也让人很直观的看见了战争的残酷。超燃
        ",https://www.douban.com/people/168610116/,160
pihuaduowang,50,"
2018-02-18
",16,北京, 2009-05-27," 个人评分：红海行动=黑鹰坠落=山2>>>战狼2。够燃，不尬。成人片，千万，千万别带小盆友一起去。
        ",https://www.douban.com/people/pihuaduowang/,440
PinkSubmarine,20,"
2018-02-25
",1,广东深圳, 2009-04-10," 突突突…突突突突突…突突…突突突…砰！砰！砰！【没了。
        ",https://www.douban.com/people/xinxinps/,140
pipboy,30,"
2018-02-18
",0,上海, 2007-11-30," 公映
        ",https://www.douban.com/people/2049714/,180
Pius,20,"
2018-02-19
",0,上海, 2007-10-28," 暗戳戳的政治不正确。
        ",https://www.douban.com/people/Pius/,440
PLACEBOOO,20,"
2018-02-20
",8,, 2016-01-30," 看得很疲惫，完成主线任务再来支线任务，一到文戏就出戏，海清尬演。血腥程度max审查都过了，然鹅电影又不分级，你家长自己想看只能拉着孩子来，服气。
        ",https://www.douban.com/people/141300162/,80
Placedo,10,"
2018-02-27
",1,陕西西安, 2016-07-26," 镜头像是被快坠毁的遥控飞机吊着拍的，后期很明显是奔着3D效果才那样设计，剪辑也全靠随缘。蒋璐霞表演情绪过头，海清的台词功底是全员最强。部分对白较造作，剧本也放弃了角色塑造，许多桥段更是不明所以，摇着旗登舰好似游客团，黄饼一事也未交代完整。动作场面确实壮观，可到头来却只是虚有其表。
        ",https://www.douban.com/people/148831013/,160
pollyanna,30,"
2018-02-26
",0,北京, 2010-02-01," 救人质那部分也太长了吧
        ",https://www.douban.com/people/chickying/,360
Pu,20,"
2018-02-18
",1,重庆, 2016-11-02," emmm一直突突突哒哒哒 你说捡枪弹药手榴弹 我能接受 但是你随便一捡就是坦克 防空导弹 样样都会使 样样都可以用 还是其他国家的 结果你还赢了 那些人都是大傻子吧 逻辑性太差
        ",https://www.douban.com/people/153314533/,360
Pulvinus,40,"
2018-02-19
",14,上海, 2010-10-26," 这个片说明了现在国内的意识技术资金运用执行到拍个『黑鹰坠落』或者『孤独的生还者』完全不成问题。故事结构高度密集，啥都有了，就除了没床戏。真不错。
        ",https://www.douban.com/people/DanP/,320
PureSucker,20,"
2018-02-09
",265,, 2010-02-01," 看完本片，给冷锋打call#红海屠杀
        ",https://www.douban.com/people/34316735/,0
pylee,50,"
2018-02-14
",111,广东广州, 2008-05-06," 林超贤导演最近的作品都挺不错的，这次也没有让人失望，虽说整个故事在真实事件基础上改编，为电影的可看性故事有一定程度的复杂以及夸张成分在，主旋律的意味也很明确，海军威武！但整个过程还是看得比较热血沸腾和紧张的，整个气氛的调动还有几个鲜肉的表现还是挺不错的，唯一的女兵更是帅到爆炸。
        ",https://www.douban.com/people/pylee/,420
P猪大侠,10,"
2018-02-21
",0,福建福州, 2012-06-18," 八分
        ",https://www.douban.com/people/PZHUDAXIA/,300
Q.,10,"
2018-02-18
",0,"New York City, United States", 2009-05-01," 还可以再难看些吗！。。。恶
        ",https://www.douban.com/people/4097674/,300
qiaomudong,50,"
2018-02-17
",29,, 2009-05-22," 个人觉得此片比战狼2好看，战狼粉丝不要打我~2018.2.17
        ",https://www.douban.com/people/4246182/,300
Qooooo,20,"
2018-02-16
",11,北京, 2011-04-16," 太可怕了
        ",https://www.douban.com/people/50896303/,100
Queen楠瓜,50,"
2018-02-19
",6,上海, 2013-05-08," 致敬中国人民解放军！刷了好多电影周边，五个月在摩洛哥沙漠拍戏，主创轮番被当地人抢劫受伤被蚊子叮，爆破和巷战大概是目前华语电影巅峰了，黄景瑜的普通话还是那么别扭可爱，狙击手的塑造可圈可点，张译演技真的磨炼的服气服气，最后！海清全程智商在线，发糖CP好感人！！！十星给林超贤！
        ",https://www.douban.com/people/72261882/,440
Quryan,20,"
2018-02-26
",0,, 2017-05-13," 看的好尴尬
        ",https://www.douban.com/people/161342555/,440
qw0aszx,20,"
2018-02-16
",556,江苏苏州, 2011-02-08," 哪有这样从头到尾动作戏都是这种最没看头的拍法还一路拍下去一点都没改的，加上剪辑也是一个路子到底，片子到一半就彻底疲劳了，再后面看下去反倒催眠起来了... 4.9分★★☆
        ",https://www.douban.com/people/88439681/,0
RDJ就是力量,10,"
2018-02-26
",7,"Los Angeles, United States", 2016-01-02," 我不知道一个发展中国家为什么要这样意淫自己的国家力量，一而再再而三。整部片子很吵，没有给观众喘息的机会(贬义)，不是高潮迭起的那种，是全程枪声炮声让人很不舒服，看得我几乎想离场，有过最差的观影体验。
        ",https://www.douban.com/people/139907633/,160
RealityBites,30,"
2018-02-26
",1,浙江杭州, 2011-05-27," 夸张得要死，有资本了不起哦。撇开演技，演员看着倒都挺顺眼。狙击手×观察员的西皮可以吃一吃。
        ",https://www.douban.com/people/yeslie/,440
refugee,30,"
2018-03-03
",1,陕西西安, 2013-12-02," 太紧了。bug不少
        ",https://www.douban.com/people/80690830/,480
regret她的颜,50,"
2018-02-23
",13,内蒙古包头, 2015-11-27," 华丽的场面，节奏感强的故事，晃动的镜头......可以算作战争片的标杆了，但文戏略弱，最后一场夺黄标的戏也可能让人疲惫！顾顺李懂最强cp我会乱说...
        ",https://www.douban.com/people/138248990/,240
rele,30,"
2018-02-19
",0,上海, 2008-07-19," 身后小妹妹问：他们都不用吃饭的吗？并不太适合带父母看，老妈看到一半表示太吵了身体不适。#黄景瑜出场对白自动基腐向
        ",https://www.douban.com/people/rele/,480
reply1988,50,"
2018-02-16
",184,河南郑州, 2016-05-21," 大年初一，期待已久！绝对是国产同类型的里程碑，超越了湄公河行动。全程2个小时我精神紧绷，买的水都忘记喝了。沙漠坦克追逐、翼装飞行、狙击射击，很多元素都具备了，真的很棒！血腥镜头也非常惨烈，真的希望那些巨婴们看看我们的军人是怎么保护我国公民的！有些衔接很突兀，但是瑕不掩瑜！
        ",https://www.douban.com/people/146063383/,60
Ricardo,30,"
2018-02-22
",2,北京, 2009-10-24," 尺度真大，可见广电总局的权力是一个薛定谔概念。同类对照应该是《激战十三小时》这样的作品。#with 爽#
        ",https://www.douban.com/people/17884700/,120
Ricky925,20,"
2018-02-22
",2,四川成都, 2011-02-10," 节奏乱，情节杂，某些演员口条演技为0，吵翻天的音效还有四处核平，看的人好累。还想问下啥时候电影能分级，小朋友本来接受爱国教育，却看到了爆头割喉和断肢23333
        ",https://www.douban.com/people/Ricky925/,80
Ridin Solo,30,"
2018-02-18
",4,"New York City, United States", 2010-02-06," 故事性不强，全程各种帅
        ",https://www.douban.com/people/phylliszhou/,200
Rio,50,"
2018-02-16
",4,广东深圳, 2011-07-15," 卖点还是爱国主义情怀。有点血腥，全场无尿点，这么多大场面能够看得出导演废了不少功夫和心思。看这种军事片无需太多矫情情感的渲染，我觉得不错。
        ",https://www.douban.com/people/53064478/,380
Rosicky,50,"
2018-02-18
",12,北京, 2014-02-05," 厚实的剧本，干净利落的镜头场面，中国人和中国军人的精气神，没有一点儿《战狼2》做作的强行煽情，林超贤用自己的方式依然拍出了中华强国的自信。
        ",https://www.douban.com/people/83192271/,460
rubykey,30,"
2018-02-20
",0,, 2008-10-05," 没想到海清的演技竟然这么烂，张涵予的演技似乎也有点尬但是戏份不多看不出。R18不提醒不分级扣一星。
        ",https://www.douban.com/people/rubykey/,420
rufio,10,"
2018-02-22
",1,山东青岛, 2008-06-13," 跟风剧会越来越多，思想性就HHH
        ",https://www.douban.com/people/2592459/,180
rvin,50,"
2018-02-16
",36,, 2015-01-11," 喜欢林超贤风格的军事动作片！
        ",https://www.douban.com/people/Baikalman/,480
S/Z,20,"
2018-02-17
",38,陕西西安, 2010-09-16," 湄公河目标明确，主角突出，任务层次丰富，有智有武，还有感情线和啸天犬的泪点。这部感觉就是在玩使命召唤，不停接系统任务，到最后都分不清谁是谁，吃糖也是老梗感觉很尬。
        ",https://www.douban.com/people/Dharmabum/,40
Sacron.,30,"
2018-02-26
",1,"Yaoundé, Cameroon", 2015-09-03," 在场面调度和画面的风格化均以达到国内同类型电影的顶级水准，过多的动作戏存在也使得本片在叙事上显得略微单薄，而海清的那条线与本片的主线在过渡上衔接的不是特别流畅，而在动作上虽然凌厉但不够简洁。
        ",https://www.douban.com/people/134030382/,140
sadamu,20,"
2018-02-25
",0,四川成都, 2013-07-12," 所以豆瓣的评分水平是要向猫眼靠拢?
        ",https://www.douban.com/people/sadmu/,460
sag.peter,20,"
2018-02-24
",1,四川成都, 2011-07-08," 太假了吧…为了救一个人牺牲了这么多的特种部队，我觉得国家肯定不会做这种边际效应为负的事情，军人也有家庭，难道牺牲了他的父母不心痛吗？国家培养一名战士是必须要用的，但不是这样毫无意义的去浪费牺牲的，差评。话说战狼2的军舰都可以发射导弹，你是翻版你也发射几个啊
                
                
        ",https://www.douban.com/people/52893055/,220
Sahara,20,"
2018-02-22
",0,湖南长沙, 2007-04-13," 剧情还是很军武，挺傻的。但是绝对是我看过的院线片里最血腥的，看着那些来电影院闹腾的熊孩子吓傻了后开始哭唧唧，我忍不住笑出了声。
        ",https://www.douban.com/people/dongdongni/,340
saintdump,30,"
2018-02-16
",2,上海, 2008-09-12," 比湄公河行动更刚烈，三场战斗撑起全部故事，巷战的场面调度和剪辑值回票价，子弹时间配狙击和火箭筒、主观视角配开路突击、航拍配爆破和战况，视觉上错落有致，可惜抢黄饼线加得过于仓促，消解了前面人物牺牲积累的情绪。林超贤这条主旋律肌肉片的路其实不宽，立意几乎是锁死的，但数他完成得最好。
        ",https://www.douban.com/people/saintdump/,120
Salliven,30,"
2018-02-22
",5,上海, 2010-11-18," 可怕可怕！下一部和吴京组队，漫威投资，全中国班底，拍一部中国军人拯救世界的的电影。。。
        ",https://www.douban.com/people/47485891/,100
Salvatore,40,"
2018-02-16
",9,浙江舟山, 2010-09-24," 看之前以为是真人版荒野行动，看完才觉得是北非版血战钢锯岭，尺度之大挑战国内审查极限，比湄公河更硬气，国内现在急缺这种不过度煽情的类型片。后半段节奏层层叠进，不过不知道是不是删减原因，剪辑有些地方有点生硬，四星半
        ",https://www.douban.com/people/ushiyo_chan/,340
Sam。,20,"
2018-02-22
",0,广东深圳, 2010-07-02," M14:<红海行动>几乎零文戏，仅有的一点也是尴尬的不行。从头打到尾，和你国的<战狼2>一个水平，所有的恐怖分子都愚蠢的要死，3D唯一的效果就是几发子弹。★★不能再多了，怀念<黑鹰坠落>[委屈]。
        ",https://www.douban.com/people/buwubuhui/,340
SamiGuo,30,"
2018-02-21
",0,北京, 2010-03-31," 感觉前半部的战术配合超棒～后面行动真实性怀疑加上无人机那段被剪了感觉乱掉了～
        ",https://www.douban.com/people/toryronweasley/,380
samuelazad,30,"
2018-02-18
",5,江苏苏州, 2013-04-17," 1.镜头太晃，还是3d，晕到我要吐。
2.画面调度的太差，都不知道战场整体情况，全是局部的枪战，让人不知道是个什么情况。
3.太急于表现自己，敌人着墨太少，你怎么体现自己的强大？感觉敌人都是没脑子的，甚至你都不知道对手有没有脑子
4.画面尺度好评，真实刻画了战争的残忍。
        ",https://www.douban.com/people/samuelazad/,280
Sarah,20,"
2018-02-19
",0,北京, 2009-06-27," 我以为讲海军会着重在岸边、海上和海里……
        ",https://www.douban.com/people/sarahshishui/,220
Sarah Connor,20,"
2018-02-26
",1,Fiji, 2013-02-12," 很少的全景俯视镜头，对于方位感尺度感不好的人很不友好。学习了很多的武器和装备还有军事知识，但是对于不爱战争片的人来说两星也就最多了。剧本叙事及场面调度都让一个复杂的故事更加复杂。没有战狼的抓眼球也没有战狼辣眼睛。厉害了我的中国军队！想看中国人被外星人绑架中国军队干翻全宇宙的故事。
        ",https://www.douban.com/people/69045417/,280
Saudade,20,"
2018-02-23
",1,, 2014-11-17," 红海行动？红嗨行动！
        ",https://www.douban.com/people/108605652/,120
Scallet,30,"
2018-02-21
",3,北京, 2007-02-01," 还是好坏各提几句吧。电影展示了作战小分队是如何配合，里面各个角色发挥什么作用，让普通观众看明白了怎么打仗。不足坏处在毫无必要地刻意展示血腥暴力，例如刀划开创口、断臂、血流喷涌，这些都是为血腥而血腥，作为观众非常反感。欠缺人文主题，完全在为打仗而设置目标。后半截观感枯燥，感觉开挂。
        ",https://www.douban.com/people/scallet/,280
SCIFI,50,"
2018-02-21
",2,北京, 2005-08-04," 放在整个世界电影工业里都是良心之作，比战狼好太多了，制作水平可以放在好莱坞A级片里去比较，唯一短板可能就是文戏以及价值观的呈现，当然你如果说作为类型片不重要我也无话可说，可咱们还得奔着高处努力不是。多一星鼓励分。
        ",https://www.douban.com/people/SciFi/,360
scofieldd,40,"
2018-02-17
",14,广西南宁, 2010-07-17," 贺岁档看唐2和红海应该就够了吧，这部真的很直男，各种动作戏轮番上演，林超贤真的很适应这种新的主旋律类型片，希望战狼、红海、湄公河几部电影以后能联动，出一个中国现代军事宇宙，绝逼吊打漫威
        ",https://www.douban.com/people/scofieldd/,220
seabisuit,20,"
2018-02-23
",2,北京, 2006-10-23," 可能无尿点满场看嗨的观众都没人瞧片尾字幕，中国这个不分级特殊的电影市场需要一个类似宝莱坞的称号与世界区分，票房最高的R级了吧。导演在正式的背景里把国产战争类型做足还夹带血腥疯狂的私货，剧情时空里的漏洞都不提了？真别跟美军比，像鬼国的恐怖分子怕。相比残肢我实敌虚埋下妄恨比意淫更可怕
        ",https://www.douban.com/people/seabisuit/,40
seamouse,30,"
2018-02-16
",33,北京, 2005-11-27," 没有呼喊中国非洲妈妈了，场面虽夸张有漏洞，但还算厉害，没法加入各方政治交易就干脆从头炸到尾。在蛟龙突击队独闯龙潭这段重头戏，编剧显然没能为一次性解决黄饼危机算清楚可翻转的剧情，于是不得不画蛇添足，在营救人质主要任务完成后，来上那么一条狗尾。没载人质也不追击的坦克战也毫无存在必要。
        ",https://www.douban.com/people/seamouse/,20
Season.,20,"
2018-02-18
",2,湖北武汉, 2009-07-20," 我实在是觉得不好看，全程突突突，没剧情啊。慢镜头一次就够了啊，那么多次真的好尴尬啊。还有为什么这么多年了，我国电影还是这样，主角受伤了，仗就不打了，大家都等你们聊完继续？？？以及这种片真的不适合带小朋友看啊太血腥了吧。
        ",https://www.douban.com/people/season9210/,260
Seizer,20,"
2018-02-18
",9,"Roma, Italy", 2016-07-31," 海清你可别演电影了吧……
        ",https://www.douban.com/people/149010614/,140
SELVEN,20,"
2018-02-17
",372,江苏苏州, 2011-02-08," 40/100 命题作文走起： 国家乱了就会这样民不聊生，不要做“反政府武装”√；秀装备亮肌肉，我们军事力量好强大√；参与国际事务，承担大国责任√；不放弃任何一个国人，政府爱民如子√
        ",https://www.douban.com/people/SELVEN/,0
shameless,10,"
2018-02-19
",0,广东广州, 2010-10-31," ？？
        ",https://www.douban.com/people/47063713/,220
Shaun,30,"
2018-02-27
",4,"Kagoshima, Japan", 2008-07-16," 拯救邓梅行动。
        ",https://www.douban.com/people/Shaun_Koda/,100
shininglove,30,"
2018-02-22
",10,北京, 2008-08-25," 海陆空伟哥大电影！
        ",https://www.douban.com/people/2849243/,40
Shockingbunny_,30,"
2018-02-17
",0,上海, 2010-09-03," 很硬很直男 部分画面非常限制级 遗憾的是人物塑造基本没有 剧情也有些乱 比起某50亿大片 至少没有蜜汁尴尬的自我高潮
        ",https://www.douban.com/people/onionlacy/,400
SILT,20,"
2018-02-18
",0,湖北武汉, 2016-04-20," 剧情看起来问题不大，就是节奏让人疲劳，不停的慢镜头加上轰炸，画面没有美感。看之前说像黑鹰堕落，看之后只能说像腾讯家的使命召唤。感情戏和战斗戏太过分裂，让人感觉是两场，一碗碗毒鸡汤不知道从那里吐槽比较好。反派的角色设计很有亮点，希望导演继续好好拍。
        ",https://www.douban.com/people/144798236/,420
SingLesinger,30,"
2018-02-20
",8,北京, 2008-02-05," 无法代入，一直打打打
        ",https://www.douban.com/people/singlesinger/,60
sizexxl,20,"
2018-03-01
",0,, 2011-04-04," 坚持看完红海行动全片不容易，正如同少有人能完整看完一部霓虹特产一个道理。吴京虽然油腻，但战猴2起码是一部剧作调度完成度都在的合格电影，红海行动除了叶公好龙的军迷想象出的战争场面外，啥也没有了。影片中所有战争都是虚构的，也门撤侨没开过一枪，电影却打出字幕根据真事改变，这就太坏了。
        ",https://www.douban.com/people/jz0909/,420
Sknt,40,"
2018-02-20
",14,四川成都, 2013-06-09," 那个短头发女兵性感极了
        ",https://www.douban.com/people/73649780/,380
sleepy Mia,40,"
2018-02-20
",7,广东深圳, 2015-04-28," 和战狼的过于煽情以及个人英雄主义相比，这一部的克制算是弥足珍贵了。
        ",https://www.douban.com/people/sleepymia/,420
snake,10,"
2018-02-21
",1,湖北武汉, 2012-07-24," 我不管，说中国好的片子都是五星，不打就是不爱国！要什么剧情？有爱国重要吗？
        ",https://www.douban.com/people/63357821/,260
